code,area,date,median_salary,life_satisfaction,mean_salary,recycling_pct,population_size,number_of_jobs,area_size,no_of_houses,borough_flag
E12000003,yorkshire and the humber,12/1/01,18270,,20875.0,9,4976643,2400000,,,0
E12000004,east midlands,12/1/01,18291,,20932.0,14,4189622,2011000,,,0
E12000005,west midlands,12/1/01,18756,,22024.0,10,5280727,2609000,,,0
E12000006,east,12/1/01,19978,,23615.0,17,5400463,2654000,,,0
E12000007,london,12/1/01,25215,,35140.0,9,7322403,4580000,159471,3090402,0
E12000008,south east,12/1/01,20907,,25259.0,18,8023449,4299000,,,0
E12000009,south west,12/1/01,18465,,21524.0,17,4943364,2543000,,,0
E13000001,inner london,12/1/01,,,-,,2859375,,32796,1255102,0
E13000002,outer london,12/1/01,,,-,,4463028,,126676,1835300,0
E92000001,england,12/1/01,19997,,24505.0,13,49449746,25430000,13303728,21206812,0
K02000001,united kingdom,12/1/01,19722,,23925.0,,59113497,30056000,,,0
K03000001,great britain,12/1/01,19779,,24035.0,,57424178,29283000,,,0
K04000001,england and wales,12/1/01,19898,,24292.0,,52359978,26702000,,,0
N92000002,northern ireland,12/1/01,17529,,20131.0,,1688838,773000,,,0
S92000003,scotland,12/1/01,18610,,21523.0,,5064200,2581000,,,0
W92000004,wales,12/1/01,18018,,20161.0,,2910232,1272000,,,0
E09000001,city of london,12/1/02,39750,,56450.0,1,7280,344000,315,5117,1
E09000002,barking and dagenham,12/1/02,24813,,26653.0,3,166357,52000,3780,68526,1
E09000003,barnet,12/1/02,23112,,30210.0,13,320552,135000,8675,130801,1
E09000004,bexley,12/1/02,21101,,23517.0,23,219123,79000,6429,91908,1
E09000005,brent,12/1/02,21350,,24071.0,8,269871,116000,4323,102828,1
E09000006,bromley,12/1/02,16635,,21513.0,15,296668,119000,15013,128974,1
E09000007,camden,12/1/02,27432,,34486.0,14,203972,287000,2179,93884,1
E09000008,croydon,12/1/02,22675,,25815.0,13,335415,149000,8650,141424,1
E09000009,ealing,12/1/02,24542,,29470.0,15,309242,133000,5554,120590,1
E09000010,enfield,12/1/02,24654,,26835.0,14,280745,104000,8220,114131,1
E09000011,greenwich,12/1/02,21846,,23853.0,7,221476,73000,5044,95972,1
E09000012,hackney,12/1/02,24582,,32321.0,3,210961,108000,1905,88557,1
E09000013,hammersmith and fulham,12/1/02,28012,,37855.0,10,171989,119000,1715,77287,1
E09000014,haringey,12/1/02,21972,,23632.0,5,224474,75000,2960,94321,1
E09000015,harrow,12/1/02,23176,,26303.0,12,212336,80000,5046,80963,1
E09000016,havering,12/1/02,16123,,19520.0,5,225054,91000,11446,94194,1
E09000017,hillingdon,12/1/02,26159,,30463.0,28,247063,182000,11570,99328,1
E09000018,hounslow,12/1/02,24399,,32582.0,20,216888,136000,5659,86521,1
E09000019,islington,12/1/02,33497,,54080.0,6,180118,169000,1486,84255,1
E09000020,kensington and chelsea,12/1/02,26649,,35481.0,9,163827,140000,1238,83819,1
E09000021,kingston upon thames,12/1/02,22575,,29702.0,18,149642,79000,3726,62621,1
E09000022,lambeth,12/1/02,24952,,31630.0,10,273041,137000,2725,121455,1
E09000023,lewisham,12/1/02,23254,,25909.0,7,253662,79000,3532,109435,1
E09000024,merton,12/1/02,22429,,27052.0,15,190561,77000,3762,80602,1
E09000025,newham,12/1/02,21420,,24900.0,5,255282,74000,3857,94609,1
E09000026,redbridge,12/1/02,22133,,24512.0,13,244273,83000,5644,94682,1
E09000027,richmond upon thames,12/1/02,23311,,30680.0,23,175441,80000,5876,78676,1
E09000028,southwark,12/1/02,28062,,30906.0,4,256269,166000,2991,107540,1
E09000029,sutton,12/1/02,23311,,25965.0,19,181265,73000,4385,77734,1
E09000030,tower hamlets,12/1/02,31168,,49998.0,3,207031,160000,2158,82185,1
